te_estimator,window_size,field_def,cmi_regimes,threshold_mode,sink_mode,thr_bot,thr_top,cooldown,max_posiciones,pnl_pct,portfolio_final,bh_pnl,alpha_bh,n_compras,n_ventas,n_trades,n_ignorados,win_rate,pos_finales,valid
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.6,48,5,-22.89,771.1,7.35,-30.24,792,791,1583,3,50.1,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.6,48,7,-16.65,833.46,7.35,-24.01,792,791,1583,3,50.1,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.6,0,5,-29.2,707.99,7.35,-36.56,835,837,1672,23553,55.2,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.6,0,7,-21.83,781.69,7.35,-29.19,835,837,1672,23553,55.2,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.6,0,9,-17.42,825.79,7.35,-24.78,835,837,1672,23553,55.2,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.6,24,5,3.99,1039.87,7.35,-3.37,1477,1558,3035,79,51.0,4,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.6,48,9,-13.08,869.2,7.35,-20.43,792,791,1583,3,50.1,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.6,96,5,-8.82,911.84,7.35,-16.17,400,399,799,1,51.6,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.6,96,7,-5.99,940.08,7.35,-13.35,400,399,799,1,51.6,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.6,96,9,-4.52,954.78,7.35,-11.88,400,399,799,1,51.6,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.65,24,7,5.62,1056.21,7.35,-1.73,1478,1556,3034,76,50.5,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.65,24,9,5.26,1052.6,7.35,-2.09,1492,1556,3048,62,50.4,9,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.65,48,5,53.41,1534.11,7.35,46.06,764,792,1556,29,51.9,4,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.65,48,7,61.57,1615.67,7.35,54.21,772,792,1564,21,54.4,6,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.65,0,5,-29.95,700.52,7.35,-37.3,835,837,1672,22930,54.5,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.65,0,7,-22.42,775.8,7.35,-29.77,835,837,1672,22930,54.5,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.65,0,9,-17.9,820.96,7.35,-25.26,835,837,1672,22930,54.5,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.65,24,5,-35.76,642.38,7.35,-43.12,1480,1554,3034,76,51.3,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.65,48,9,67.84,1678.42,7.35,60.49,774,792,1566,19,52.8,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.65,96,5,-6.44,935.6,7.35,-13.79,400,399,799,1,50.4,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.65,96,7,-4.24,957.56,7.35,-11.6,400,399,799,1,50.4,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.65,96,9,-3.14,968.58,7.35,-10.5,400,399,799,1,50.4,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.7,24,7,-9.92,900.77,7.35,-17.28,1450,1529,2979,101,50.4,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.7,24,9,7.88,1078.83,7.35,0.53,1467,1529,2996,84,49.5,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.7,48,5,7.76,1077.59,7.35,0.4,733,783,1516,60,51.0,4,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.7,48,7,6.16,1061.64,7.35,-1.19,743,783,1526,50,49.4,6,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.7,0,5,-82.34,176.58,7.35,-89.7,4924,5495,10419,13808,53.7,0,True
