bot_combo,top_combo,umbral_bot,umbral_top,cooldown,pnl_pct,portfolio,n_buy,n_sell,n_trades,n_ign,win_rate,alpha_vs_bh,alpha_vs_orig
close_position+recovery_pct,close_position,0.7,0.6,96,9.03,1090.33,89,89,178,97,60.7,84.81,78.87
bb_position+recovery_pct,drawdown_pct,0.65,0.6,96,9.03,1090.33,89,89,178,109,66.3,84.81,78.87
close_position+recovery_pct,bb_position,0.7,0.6,96,8.93,1089.26,89,89,178,123,65.2,84.71,78.77
bb_position,close_position,0.7,0.65,96,8.85,1088.51,89,88,177,36,56.8,84.63,78.69
close_position+recovery_pct,close_position+drawdown_pct,0.65,0.65,96,8.85,1088.54,89,89,178,80,57.3,84.63,78.69
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.75,0.7,96,8.83,1088.31,89,89,178,38,62.9,84.61,78.67
close_position+recovery_pct,close_position+bb_position,0.85,0.65,96,8.81,1088.09,83,83,166,217,66.3,84.59,78.65
close_position+recovery_pct,close_position+bb_position,0.85,0.8,96,8.79,1087.94,83,83,166,70,63.9,84.57,78.63
close_position+bb_position,drawdown_pct+bb_position,0.75,0.7,96,8.78,1087.83,89,89,178,59,62.9,84.56,78.62
close_position+recovery_pct,drawdown_pct+bb_position,0.7,0.6,96,8.75,1087.45,89,89,178,118,68.5,84.53,78.59
bb_position+recovery_pct,drawdown_pct,0.8,0.7,96,8.74,1087.4,89,89,178,49,61.8,84.52,78.58
close_position+recovery_pct,drawdown_pct+bb_position,0.65,0.65,96,8.72,1087.15,89,89,178,78,61.8,84.5,78.56
bb_position+recovery_pct,close_position+bb_position,0.65,0.65,96,8.72,1087.23,89,89,178,82,58.4,84.5,78.56
close_position+bb_position+recovery_pct,close_position,0.7,0.6,96,8.71,1087.08,89,89,178,104,60.7,84.49,78.55
close_position,bb_position,0.7,0.65,96,8.7,1086.96,89,89,178,105,64.0,84.48,78.54
bb_position,drawdown_pct,0.75,0.6,96,8.7,1086.99,89,89,178,102,66.3,84.48,78.54
close_position+bb_position,close_position+drawdown_pct,0.7,0.65,96,8.65,1086.52,89,89,178,79,60.7,84.43,78.49
